Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","125,0k",1tr+,TopGia HCM Store,9%,₫11.250,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/6L4SG0dEw9
26609048170,"Ốp Lưng iPhone TPU Chống Bẩn Lót Nhung, Bảo Vệ Camera - iP 7/8/X/XS/XR/11/12/13/14/15/16/17/Mini/Plus/Pro/Max/Air","41,5k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫8.300,https://shopee.vn/product/89827191/26609048170,https://s.shopee.vn/6Al23hdsH8
25171045245,Áo mưa đi xe máy đơn nam nữ trong suốt cao cấp 1 người thời trang  đẹp,"146,6k",30k+,dhf18-HN,9%,₫13.196,https://shopee.vn/product/1218336683/25171045245,https://s.shopee.vn/60RbrOeVc7
29428705340,Sốt Chấm CayTeDai x2 SIÊU CAY - Sốt Muối Chấm Lâm Vlog Cay Tê Dại x2,"88,7k",200k+,Lâm Vlog Food,8%,₫7.096,https://shopee.vn/product/1424739765/29428705340,https://s.shopee.vn/7AdZFXa4FM
24491019937,"Khăn giấy vệ sinh treo tường Tiểu Hạ 1000 tờ làm từ bột gỗ thiên nhiên, an toàn, 6 bịch hoặc 10 bịch","119,0k",2tr+,TopGia HCM,8%,₫9.520,https://shopee.vn/product/729014007/24491019937,https://s.shopee.vn/70K93EahaL
28818204493,Sạc Dựng Phòng Trong Suốt 30000mAh Với 2 Cổng Sạc Nhanh 22.5w và PD 20W Kèm 4 Đầu Sạc Màn Hình LED,"225,0k",600k+,Pin dự phòng nội địa Trung,10%,₫22.500,https://shopee.vn/product/938402459/28818204493,https://s.shopee.vn/6q0iqvbKvK
28257218140,Chân Gà Không Xương -  ĂN CÙNG BÀ TUYẾT M11,"50,0k",30k+,Ăn Cùng Bà Tuyết,11%,₫5.500,https://shopee.vn/product/279658061/28257218140,https://s.shopee.vn/6fhIecbyGJ
48054201493,"Máy bơm lốp ôtô cầm tay sạc USB ngắt tự động,thiết kế nhỏ gọn công suất lớn","170,1k",181,FineLife,12%,₫20.412,https://shopee.vn/product/1497798432/48054201493,https://s.shopee.vn/7ptG2lXWtY
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","74,0k",2tr+,TopGia HCM,10%,₫7.400,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/7fZpqSYAEX
23244410073,"Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max","20,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫4.180,https://shopee.vn/product/89827191/23244410073,https://s.shopee.vn/7VGPe9YnZW
23073213252,"Bộ thun lạnh tay dài quần dài cho Bé trai , Bé gái 5 - 20kg, Đồ Bộ Cho Bé Mặc Nhà , Chuchoe Baby","65,0k",300k+,CHUCHOE BABY,13%,₫8.450,https://shopee.vn/product/137184188/23073213252,https://s.shopee.vn/7KwzRqZQuV
56059964080,Tai nghe cắm tai không dây Blueclouds để làm việc Bảo vệ thính giác khử tiếng ồn 35dB cho xây dựng và nhà máy mới,"216,2k",5,blueclouds.vn,2%,₫4.325,https://shopee.vn/product/1280282335/56059964080,https://s.shopee.vn/3B7QUBpIMi
46859620849,[SIÊU TIẾT KIỆM] Khăn Giấy Pio TopGia Đa Năng Cao Cấp Thùng 10 8 5 4 Siêu Dai Mềm Mịn 200 Lần Rút,"69,0k",100k+,TopGia HCM,8%,₫5.520,https://shopee.vn/product/729014007/46859620849,https://s.shopee.vn/30o0Hspvhh
