Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","74,0k",1tr+,TopGia HCM,10%,₫7.400,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/3B6rbvHhui
23119593211,[CHÍNH HÃNG ĐỦ 10 MÀU] Khẩu Trang 5D THỊNH PHÁT 3 Lớp Vải Không Dệt Kháng Khuẩn Lọc Bụi Mịn Tia UV,"63,0k",600k+,Hana - Khẩu Trang Thịnh Phát,18%,₫11.344,https://shopee.vn/product/13213141/23119593211,https://s.shopee.vn/30nRPcILFh
25029090694,"Dép đúc loufu nam nữ,unisex,Siêu bền êm đẹp 1185vs","40,0k",100k+,Giày Kuul - Thời trang giá rẻ,12%,₫4.800,https://shopee.vn/product/609543/25029090694,https://s.shopee.vn/2qU1DJIyag
42466018491,Ốp Lưng iPhone TPU Đệm Nhung Chống Bẩn Bảo Vệ Camera 6/6plus/7/8/plus/x/xs/11/12/13/14/15/16/17/pro/plus/promax  R1-2,"41,1k",300k+,ỐP LƯNG IPHONE -SIÊU THỊ AWiFi,10%,₫4.107,https://shopee.vn/product/7669738/42466018491,https://s.shopee.vn/2gAb10Jbvf
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","125,0k",1tr+,TopGia HCM Store,9%,₫11.250,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/3qMYP9FAYu
21494586018,"[Combo 100 Cái] Khẩu Trang 5D Tấn Phát Chính Hãng 3 Lớp, Chống Bụi Mịn, Không Lem Son","35,0k",900k+,Thành Nhân SG,5%,₫1.750,https://shopee.vn/product/577452794/21494586018,https://s.shopee.vn/3g38CqFntt
23922474647,"Tinh Dầu Treo Xe Ôtô, Tủ Quần Áo, Treo Thơm Phòng Mộc An Nhiên - 21 mùi hương","28,2k",600k+,AnNhiên Stores,11%,₫3.104,https://shopee.vn/product/684726466/23922474647,https://s.shopee.vn/3Vji0XGREs
22316975253,"CC1-[Nhựa tốt]Vali kéo du lịch mẫu mới, đồng tông Size 20/24.Có bảo hành bể vỡ.","340,0k",80k+,ValiChuHe,5%,₫17.000,https://shopee.vn/product/33293753/22316975253,https://s.shopee.vn/3LQHoEH4Zr
22061511007,"Nước Giặt TopGia 3in1 Hương Huyền Diệu Dịu Nhẹ Làm Sạch Vết Bẩn, Lưu Hương 72h, Túi 2L","99,0k",100k+,TopGia HCM Store,10%,₫9.900,https://shopee.vn/product/1016604648/22061511007,https://s.shopee.vn/4VcFCNCdD6
23449754057,"Áo mưa đi xe máy PTLUXURY 1 người và 2 người che phủ toàn thân, kèm kính chắn mưa tiện lợi [ Hàng Tốt ]","82,0k",100k+,PTLUXURY ,2%,₫1.640,https://shopee.vn/product/984839978/23449754057,https://s.shopee.vn/4LIp04DGY5
24914585847,500 chiếc khẩu trang 5D Thịnh Phát 3 lớp kháng khuẩn kháng giọt bắn chống tia UV Cỏ Ba Lá,"180,0k",30k+,Thịnh Phát Store-Offcial,4%,₫7.200,https://shopee.vn/product/1072261475/24914585847,https://s.shopee.vn/4AzOnlDtt4
42577894247,"Pin Dự Phòng X279 20000mAh Sạc Nhanh – Mini Nhỏ Gọn, Dung Lượng Lớn, Tiện Lợi Mang Theo","88,2k",10k+,Gấu trúc đỏ sạc dự phòng,7%,₫6.175,https://shopee.vn/product/1698873565/42577894247,https://s.shopee.vn/40fybSEXE3
22352022576,"[SIÊU TIẾT KIỆM] Giấy ăn rút Topgia đa sắc cao cấp 240 tờ 4 lớp, dập vân 4D, mềm mịn, thấm hút tốt","74,0k",300k+,TopGia HCM Store,10%,₫7.400,https://shopee.vn/product/1016604648/22352022576,https://s.shopee.vn/5ArvzbA5rI
12786241026,Balo đi học nam nữ thương hiệu NATOLI nhiều ngăn chống nước tốt - Basic Backpack B2,"279,0k",70k+,Natoli Official Store,"8,8%",₫22.320,https://shopee.vn/product/515748887/12786241026,https://s.shopee.vn/50YVnIAjCH
29913722217,[Choice] Mũ lưỡi trai nam nữ Jussy Official thêu chữ Her form mềm thời trang Hàn Quốc,"35,0k",100k+,Jussy Official,"9,9%",₫3.150,https://shopee.vn/product/22431875/29913722217,https://s.shopee.vn/4qF5azBMXG
2608753400,Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air,"27,9k",2tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,22%,₫6.138,https://shopee.vn/product/89827191/2608753400,https://s.shopee.vn/4fvfOgBzsF
24491019937,"Khăn giấy vệ sinh treo tường Tiểu Hạ 1000 tờ làm từ bột gỗ thiên nhiên, an toàn, 6 bịch hoặc 10 bịch","90,0k",2tr+,TopGia HCM,8%,₫7.200,https://shopee.vn/product/729014007/24491019937,https://s.shopee.vn/5q7cmp7YVU
26617618076,"Son Kem Lì 3CE Blur Water Tint Mịn Môi Mờ Ảo, Không Lem, Lâu Trôi, Che Phủ Rãnh Môi, Bền Màu, Nhẹ Môi","322,0k",700k+,3CE Official Store,5%,₫16.100,https://shopee.vn/product/1362679168/26617618076,https://s.shopee.vn/5foCaW8BqT
29118467747,Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 5 Ngày 300ML (bao bì tùy đợt nhập hàng),"143,0k",400k+,Unilever Chăm Sóc Sắc Đẹp,6%,₫8.580,https://shopee.vn/product/1397276155/29118467747,https://s.shopee.vn/5VUmOD8pBS
